title,artist,genre,mood,energy,valence,tempo_bpm,danceability,acousticness
Blinding Lights,The Weeknd,pop,energetic,0.8,0.7,171,0.75,0.05
Levitating,Dua Lipa,pop,happy,0.75,0.85,103,0.9,0.02
Stay With Me,Sam Smith,soul,sad,0.35,0.2,84,0.4,0.3
Bohemian Rhapsody,Queen,rock,dramatic,0.7,0.5,144,0.45,0.15
Hotel California,Eagles,rock,melancholic,0.55,0.4,75,0.5,0.4
Shape of You,Ed Sheeran,pop,happy,0.65,0.8,96,0.85,0.1
Sicko Mode,Travis Scott,hiphop,energetic,0.9,0.6,155,0.8,0.0
HUMBLE.,Kendrick Lamar,hiphop,confident,0.7,0.55,150,0.7,0.02
Sunflower,Post Malone,pop,happy,0.6,0.75,90,0.78,0.12
Bad Guy,Billie Eilish,pop,dark,0.45,0.35,135,0.7,0.05
Clair de Lune,Debussy,classical,calm,0.1,0.6,72,0.1,0.95
Experience,Ludovico Einaudi,classical,calm,0.15,0.65,52,0.12,0.92
Study Lofi,Various,lofi,calm,0.25,0.55,85,0.55,0.7
Midnight Rain,Lofi Girl,lofi,melancholic,0.2,0.4,78,0.5,0.75
Roses,SAINt JHN,electronic,energetic,0.85,0.65,120,0.88,0.01
Bluebird,John Denver,country,happy,0.4,0.85,110,0.6,0.8
Take Me Home Country Roads,John Denver,country,nostalgic,0.45,0.75,81,0.55,0.7
DNA.,Kendrick Lamar,hiphop,intense,0.85,0.45,148,0.72,0.01
Anti-Hero,Taylor Swift,pop,reflective,0.55,0.6,97,0.68,0.08
Happier,Marshmello,electronic,happy,0.8,0.9,100,0.82,0.03
